Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
-----------------------------------------------------------------------------------------------------------------
CCA-BITAL-1000M-QINQ-2705                  |UP   | 0d00h01min|   45| 92,25%|   1ms|  90,00%|    54|  2979|   697|
CCA-ESMP-BITAL-1000M-QINQ-2704             |UP   | 0d00h00min|   96| 83,64%|   1ms|  82,21%|   114|  2979|   697|
PGJ-CONC-FORTEL-2300M-285464               |DOWN | 0d00h00min|  127| 74,61%|   0ms|  72,27%|   177|  2979|   697|
PGJ-INTERNET-BITAL-100M-QINQ-0664-LINK1    |UP   | 0d00h30min|    1| 99,86%|  30ms|  99,87%|     1|  2979|   697|
PGJ-INTERNET-BITAL-100M-QINQ-0664-LINK2    |UP   | 0d00h30min|    1| 99,86%|  29ms|  99,87%|     1|  2979|   697|
PGJ-INTERNET-MOB-600M-SLS-149307-00001     |DOWN |27d00h43min|    0|  0,00%|   0ms|  41,71%|   697|  2978|   697|
PGJ-INTERNET-OI-300M-SLS-5301648           |UP   | 0d00h04min|   52| 91,97%|   3ms|  80,09%|    56|  2979|   697|
PJ-ACAILANDIA-FORTEL-20M-310752            |UP   | 0d00h26min|    1| 99,86%|  16ms|  99,93%|     1|  2979|   697|
PJ-ALCANTARA-FORTEL-10M-349660             |UP   | 0d00h02min|   38| 93,83%|  57ms|  95,64%|    43|  2979|   697|
PJ-ALTO-PARNAIBA-FORTEL-10M-338866         |UP   |34d23h51min|    0|100,00%|  63ms|  99,83%|     0|  2979|   697|
PJ-AMARANTE-FORTEL-10M-336152              |UP   | 0d00h01min|    4| 99,43%|  56ms|  99,77%|     4|  2979|   697|
PJ-ANAJATUBA-FORTEL-10M-294700             |UP   |34d23h51min|    0|100,00%|  20ms|  99,93%|     0|  2979|   697|
PJ-ARAIOSES-FORTEL-10M-343470              |UP   | 0d00h18min|    4| 99,43%|  21ms|  99,77%|     4|  2979|   697|
PJ-ARAME-FORTEL-10M-342342                 |UP   |34d23h36min|    0|100,00%|  24ms|  99,97%|     0|  2979|   697|
PJ-ARARI-FORTEL-10M-302632                 |UP   |14d01h37min|    0|100,00%|  19ms|  99,83%|     0|  2979|   697|
PJ-AZEITAO-FORTEL-10M-339642               |UP   |35d23h34min|    0|100,00%|  15ms| 100,00%|     0|  2979|   697|
PJ-BACABAL-FORTEL-20M-307264               |UP   | 0d01h01min|    1| 99,86%|  13ms|  99,83%|     1|  2979|   697|
PJ-BACURI-FORTEL-10M-345286                |UP   | 0d00h01min|    1| 99,86%|  22ms|  99,77%|     1|  2979|   697|
PJ-BALSAS-FORTEL-20M-314146                |UP   |34d23h51min|    0|100,00%|  17ms|  89,80%|     0|  2979|   697|
PJ-BARAO-GRAJAU-FORTEL-10M-345594          |UP   |34d23h26min|    0|100,00%|  54ms|  91,44%|     0|  2979|   697|
PJ-BARRA-CORDA-FORTEL-20M-329708           |UP   |35d00h12min|    0|100,00%|  20ms|  99,93%|     0|  2979|   697|
