Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
-----------------------------------------------------------------------------------------------------------------
CCA-BITAL-1000M-QINQ-2705                  |UP   | 0d00h02min|   32| 95,13%|   2ms|  95,13%|    35|   719|   719|
CCA-ESMP-BITAL-1000M-QINQ-2704             |UP   | 0d00h03min|   46| 93,18%|   2ms|  93,18%|    49|   719|   719|
PGJ-CONC-FORTEL-2300M-285464               |UP   | 6d00h48min|   87| 86,51%|   2ms|  86,51%|    97|   719|   719|
PGJ-INTERNET-BITAL-100M-QINQ-0664-LINK1    |UP   |12d22h40min|    5| 99,30%|  29ms|  99,30%|     5|   719|   719|
PGJ-INTERNET-BITAL-100M-QINQ-0664-LINK2    |UP   |12d22h40min|    5| 99,30%|  29ms|  99,30%|     5|   719|   719|
PGJ-INTERNET-MOB-600M-SLS-149307-00001     |DOWN |12d23h47min|    0|  0,14%|   0ms|   0,14%|   716|   717|   717|
PGJ-INTERNET-OI-300M-SLS-5301648           |UP   |12d22h19min|   63| 89,57%|   1ms|  89,57%|    75|   719|   719|
PJ-ACAILANDIA-FORTEL-20M-310752            |UP   | 6d00h49min|    3| 98,89%|  25ms|  98,89%|     8|   719|   719|
PJ-ALCANTARA-FORTEL-10M-349660             |UP   | 0d00h00min|   19| 95,41%|  28ms|  95,41%|    33|   719|   719|
PJ-ALTO-PARNAIBA-FORTEL-10M-338866         |UP   |12d22h19min|    3| 99,58%|  19ms|  99,58%|     3|   719|   719|
PJ-AMARANTE-FORTEL-10M-336152              |UP   |12d22h14min|   37| 92,49%|  43ms|  92,49%|    54|   719|   719|
PJ-ANAJATUBA-FORTEL-10M-294700             |UP   |12d22h40min|    1| 99,86%|  21ms|  99,86%|     1|   719|   719|
PJ-ARAIOSES-FORTEL-10M-343470              |UP   |12d22h19min|    3| 99,44%|  22ms|  99,44%|     4|   719|   719|
PJ-ARAME-FORTEL-10M-342342                 |UP   |12d22h40min|    1| 99,86%|  20ms|  99,86%|     1|   719|   719|
PJ-ARARI-FORTEL-10M-302632                 |UP   |12d22h40min|    1| 99,86%|  19ms|  99,86%|     1|   719|   719|
